id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
640027,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
634078,Landing Page Submission,Google,Yes,No,0,2.0,33,2.0,Unsubscribed,Business Administration,,No,No,No,No,No,No,14.0,18.0,No
580090,Landing Page Submission,Direct Traffic,No,No,1,3.0,1131,3.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
614018,Landing Page Submission,Organic Search,No,No,1,4.0,1189,4.0,SMS Sent,Business Administration,Working Professional,No,No,No,No,No,No,,,No
580313,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,12.0,16.0,No
592505,Landing Page Submission,Google,No,No,1,6.0,1104,6.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
631047,Landing Page Submission,Direct Traffic,No,No,0,6.0,1271,3.0,Email Opened,Supply Chain Management,,No,No,No,No,No,No,,,No
589308,API,Google,No,No,0,3.0,56,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
605081,Landing Page Submission,Direct Traffic,No,No,0,2.0,1420,2.0,Email Opened,Supply Chain Management,Student,No,No,No,No,No,No,,,Yes
587836,Landing Page Submission,Direct Traffic,No,No,0,3.0,15,3.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
640187,API,Google,No,No,1,2.0,1017,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
643038,API,Google,No,No,1,4.0,932,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,12.0,No
605931,Landing Page Submission,Direct Traffic,No,No,0,5.0,743,1.67,SMS Sent,Operations Management,,No,No,No,No,No,No,,,Yes
630127,Landing Page Submission,Organic Search,No,No,1,9.0,181,4.5,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
582611,Landing Page Submission,Direct Traffic,No,No,1,2.0,206,2.0,SMS Sent,Operations Management,,No,No,No,No,No,No,14.0,18.0,Yes
600755,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
601448,Landing Page Submission,Organic Search,No,No,1,10.0,1205,2.5,SMS Sent,Operations Management,,No,No,No,No,No,No,,,Yes
593482,Landing Page Submission,Direct Traffic,No,No,0,8.0,698,2.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,18.0,Yes
592415,Landing Page Submission,Google,No,No,1,6.0,798,6.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,16.0,20.0,No
615461,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
